Classes,1985,1995,2005,2015,2023
Não Observado,0.0,0.0,0.0,0.0,0.0
Formação Florestal,2401.5579,1974.0715,1548.5425,1122.4113,897.0472
Formação Savânica,0.5848,0.1771,0.0,0.0125,0.041
Mangue,0.0,0.0,0.0,0.0,0.0
Floresta Alagável (beta),0.363,0.3023,0.272,0.2916,0.2586
Plantação Florestal,0.0,0.0143,0.0143,0.0143,0.0143
Campo Alagado e Área Pantanosa,0.4948,0.4626,0.3191,0.3482,0.3244
Formação Campestre,0.0232,0.1452,0.0936,0.0383,0.0
Pastagem,146.6417,571.0693,993.3258,1368.8912,1342.0929
"Praia, Duna e Areal",0.0,0.0,0.0,0.0,0.0
Área Urbanizada,2.7582,5.6664,9.0753,11.509,12.733
Outras Áreas não Vegetadas,0.0,0.0071,8.7663,0.0018,4.5347
Apicum,0.0,0.0,0.0,0.0,0.0
"Rio, Lago e Oceano",1.1502,1.6842,1.6228,1.745,2.7372
Soja,0.0,0.0,0.0,0.0,272.4824
Outras Lavouras Temporárias,0.0,0.3013,39.6245,0.0,21.6953
